"site","knoll","S","name","diameter","knoll_depth","surf_area","sqrt_area"
"Caves",1,55,"Casey",1,4,19.31,4.39431450854397
"Caves",1,15,"Dobby",1,4,19.31,4.39431450854397
"Caves",2,55,"Casey",2,4.7,20.15,4.48887513749269
"Caves",2,15,"Dobby",2,4.7,20.15,4.48887513749269
"Caves",3,33,"Hugo",3,4.9,11.54,3.39705755029261
"Caves",3,43,"Ziggy",3,4.9,11.54,3.39705755029261
"Caves",4,45,"Hugo",4,4.1,21.2,4.60434577328853
"Caves",4,64,"Ziggy",4,4.1,21.2,4.60434577328853
"Caves",5,14,"Boots",5,2.8,23.4,4.83735464897913
"Caves",5,30,"Giotto",5,2.8,23.4,4.83735464897913
"Caves",6,27,"Boots",6,4.1,16.84,4.10365690573664
"Caves",6,40,"Giotto",6,4.1,16.84,4.10365690573664
"Caves",7,47,"Jack",7,5.2,16.95,4.11703777004778
"Caves",7,50,"Mooncake",7,5.2,16.95,4.11703777004778
"Caves",8,39,"Jack",8,5.6,19.25,4.38748219369606
"Caves",8,43,"Mooncake",8,5.6,19.25,4.38748219369606
"Caves",9,53,"Yomby",9,3.4,29.57,5.43783044972901
"Caves",9,79,"Lucy",9,3.4,29.57,5.43783044972901
"Caves",10,49,"Yomby",10,4,14.19,3.76696164036747
"Caves",10,36,"Lucy",10,4,14.19,3.76696164036747
"Caves",11,66,"Yomby",11,3.4,11.46,3.38526217596215
"Caves",11,50,"Lucy",11,3.4,11.46,3.38526217596215
"Caves",12,29,"Ted",12,5,11.12,3.33466640010661
"Caves",12,28,"Tsahy",12,5,11.12,3.33466640010661
"Caves",13,22,"Ted",13,5.2,12.11,3.47994252826106
"Caves",13,25,"Tsahy",13,5.2,12.11,3.47994252826106
"Caves",14,14,"Ted",14,5.5,16.03,4.00374824383352
"Caves",14,23,"Tsahy",14,5.5,16.03,4.00374824383352
"Caves",15,50,"Hugo",7.5,3.4,13.42,3.66333181680284
"Caves",15,58,"Ziggy",7.5,3.4,13.42,3.66333181680284
"Caves",16,51,"Casey",6.6,2,9.69,3.11287648325468
"Caves",16,12,"Dobby",6.6,2,9.69,3.11287648325468
"Caves",17,26,"Boots",2.6,1.8,12.76,3.57211421989835
"Caves",17,28,"Giotto",2.6,1.8,12.76,3.57211421989835
"Katza",1,53,"Hugo",1,5.9,32.59,5.70876519047683
"Katza",1,51,"Lucy",1,5.9,32.59,5.70876519047683
"Katza",2,81,"Hugo",2,4.4,28.71,5.35817132984753
"Katza",2,55,"Lucy",2,4.4,28.71,5.35817132984753
"Katza",3,13,"Dobby",3,4.8,18.57,4.30929228528305
"Katza",3,33,"Boots",3,4.8,18.57,4.30929228528305
"Katza",4,14,"Dobby",4,3.3,22.16,4.70744091837593
"Katza",4,23,"Boots",4,3.3,22.16,4.70744091837593
"Katza",5,15,"Casey",5,3.2,6.36,2.5219040425837
"Katza",5,15,"Giotto",5,3.2,6.36,2.5219040425837
"Katza",6,72,"Casey",6,2.8,28.24,5.31413210223457
"Katza",6,48,"Mika",6,2.8,28.24,5.31413210223457
"Katza",7,52,"Casey",7,3.4,15.67,3.9585350825779
"Katza",7,40,"Mika",7,3.4,15.67,3.9585350825779
"Katza",8,47,"Yomby",8,1.8,18.06,4.24970587217516
"Katza",8,39,"Ziggy",8,1.8,18.06,4.24970587217516
"Katza",9,55,"Yomby",9,1.7,19,4.35889894354067
"Katza",9,56,"Ziggy",9,1.7,19,4.35889894354067
"Katza",10,34,"Yomby",10,2,14.9,3.86005181312376
"Katza",10,35,"Ziggy",10,2,14.9,3.86005181312376
"Katza",11,33,"Ted",11,3.3,23.01,4.79687398208458
"Katza",11,50,"Jack",11,3.3,23.01,4.79687398208458
"Katza",12,33,"Ted",12,3.4,10.26,3.20312347560939
"Katza",12,36,"Jack",12,3.4,10.26,3.20312347560939
"Katza",14,15,"Ted",14,3.4,6.43,2.53574446662119
"Katza",14,23,"Jack",14,3.4,6.43,2.53574446662119
"Katza",15,19,"Ted",15,3.4,12.83,3.58189893771446
"Katza",15,31,"Jack",15,3.4,12.83,3.58189893771446
"Katza",16,53,"Yomby",16,1.9,13.05,3.61247837363769
"Katza",16,53,"Ziggy",16,1.9,13.05,3.61247837363769
"Katza",17,32,"Hugo",17,2,7.25,2.69258240356725
"Katza",17,40,"Tsahy",17,2,7.25,2.69258240356725
"Katza",18,6,"Dobby",18,2.2,10.02,3.16543835826888
"Katza",18,14,"Boots",18,2.2,10.02,3.16543835826888
"Katza",19,29,"Tsahy",3.8,5.6,9.85,3.13847096529504
"Katza",19,36,"Pupik",3.8,5.6,9.85,3.13847096529504
"Katza",20,48,"Tsahy",5.2,5.6,16.74,4.09145450909576
"Katza",20,45,"Pupik",5.2,5.6,16.74,4.09145450909576
"Katza",21,11,"Dobby",2,3.4,3.14,1.77200451466693
"Katza",21,22,"Boots",2,3.4,3.14,1.77200451466693
"Katza",22,59,"Mooncake",4.8,5.2,16.96,4.1182520563948
"Katza",22,73,"Giotto",4.8,5.2,16.96,4.1182520563948
"Katza",23,44,"Mooncake",3,4.1,7.07,2.65894716006167
"Katza",23,43,"Giotto",3,4.1,7.07,2.65894716006167
"Katza",24,66,"Casey",6,3.1,15.55,3.94334883062607
"Katza",24,44,"Mika",6,3.1,15.55,3.94334883062607
"NR",1,43,"Lucy",6.7,3.1,44.42,6.66483308118065
"NR",1,63,"Pupik",6.7,3.1,44.42,6.66483308118065
"NR",2,26,"Lucy",2.7,4.4,10.28,3.20624390837628
"NR",2,32,"Pupik",2.7,4.4,10.28,3.20624390837628
"NR",3,14,"Dobby",3.5,4.3,16.52,4.06448028658031
"NR",3,64,"Ziggy",3.5,4.3,16.52,4.06448028658031
"NR",5,54,"Jack",3.7,6.5,15.04,3.87814388593306
"NR",5,55,"Tehza",3.7,6.5,15.04,3.87814388593306
"NR",6,26,"Ted",2.8,3.3,11.08,3.32866339541865
"NR",6,31,"Boots",2.8,3.3,11.08,3.32866339541865
"NR",7,72,"Casey",4,4.8,18.03,4.24617474911243
"NR",7,77,"Giotto",4,4.8,18.03,4.24617474911243
"NR",8,100,"Yomby",6.4,6.6,39.69,6.3
"NR",8,91,"Tsahy",6.4,6.6,39.69,6.3
"NR",9,51,"Yomby",2.9,6.6,14.42,3.79736750920951
"NR",9,47,"Tsahy",2.9,6.6,14.42,3.79736750920951
"NR",10,44,"Yomby",4.1,4.3,26.62,5.15945733580577
"NR",10,31,"Tsahy",4.1,4.3,26.62,5.15945733580577
"NR",12,31,"Ted",6.4,2.1,21.61,4.64865571966778
"NR",12,43,"Boots",6.4,2.1,21.61,4.64865571966778
"NR",13,51,"Casey",5.5,3.1,14.68,3.8314488121336
"NR",13,37,"Giotto",5.5,3.1,14.68,3.8314488121336
"NR",14,65,"Casey",5.4,2.7,14.42,3.79736750920951
"NR",14,60,"Giotto",5.4,2.7,14.42,3.79736750920951
"NR",15,27,"Ted",6,1.8,20.73,4.55302097513288
"NR",15,45,"Boots",6,1.8,20.73,4.55302097513288
"NR",16,74,"Jack",6.8,6.9,33.64,5.8
"NR",16,80,"Tehza",6.8,6.9,33.64,5.8
"NR",17,11,"Dobby",5.6,4.4,17.59,4.19404339510215
"NR",17,55,"Ziggy",5.6,4.4,17.59,4.19404339510215
"Princess",1,28,"Boots",1,2.8,27.6,5.25357021462548
"Princess",1,26,"Lucy",1,2.8,27.6,5.25357021462548
"Princess",2,40,"Tsahy",2,3.9,15,3.87298334620742
"Princess",3,32,"Ted",3,4.5,22.6,4.75394572960189
"Princess",3,58,"Pupik",3,4.5,22.6,4.75394572960189
"Princess",4,73,"Tehza",4,4.3,31.8,5.63914887194867
"Princess",4,52,"Mika",4,4.3,31.8,5.63914887194867
"Princess",5,39,"Tehza",5,5.6,7.8,2.79284800875379
"Princess",5,22,"Mika",5,5.6,7.8,2.79284800875379
"Princess",6,17,"Tehza",6,4.4,11.1,3.33166624979154
"Princess",6,18,"Mika",6,4.4,11.1,3.33166624979154
"Princess",7,57,"Yomby",7,5.6,11.1,3.33166624979154
"Princess",7,50,"Giotto",7,5.6,11.1,3.33166624979154
"Princess",8,23,"Casey",8,4.5,13.6,3.68781778291716
"Princess",8,26,"Mooncake",8,4.5,13.6,3.68781778291716
"Princess",9,49,"Casey",9,4.9,17.6,4.19523539268061
"Princess",9,49,"Mooncake",9,4.9,17.6,4.19523539268061
"Princess",10,52,"Jack",10,3.9,18.3,4.27784992724149
"Princess",10,64,"Ziggy",10,3.9,18.3,4.27784992724149
"Princess",11,53,"Jack",11,3.6,30.1,5.48634668973808
"Princess",11,71,"Ziggy",11,3.6,30.1,5.48634668973808
"Princess",12,44,"Jack",12,2.9,28.2,5.3103672189407
"Princess",12,51,"Ziggy",12,2.9,28.2,5.3103672189407
"Princess",13,20,"Ted",13,4.1,6.9,2.62678510731274
"Princess",13,28,"Pupik",13,4.1,6.9,2.62678510731274
"Princess",15,45,"Yomby",4.1,1.9,29.9,5.46808924579693
"Princess",15,42,"Giotto",4.1,1.9,29.9,5.46808924579693
"Princess",16,32,"Yomby",1.9,2.7,6.1,2.46981780704569
"Princess",16,18,"Giotto",1.9,2.7,6.1,2.46981780704569
"Princess",17,76,"Casey",4.3,1.7,36.8,6.06630035524124
"Princess",17,56,"Mooncake",4.3,1.7,36.8,6.06630035524124
"Princess",18,19,"Tsahy",2.5,2.1,10.2,3.19374388453426
"Princess",19,13,"Boots",2.5,2.7,9.5,3.08220700148449
"Princess",19,9,"Lucy",2.5,2.7,9.5,3.08220700148449
"Princess",21,13,"Ted",2.4,5.8,7.9,2.81069386451104
"Princess",21,23,"Pupik",2.4,5.8,7.9,2.81069386451104
